Coin Name,Complete Name,Algorithm,Proof Type,Total Coin Supply
Elastic,Elastic (XEL),N/A,PoW,100000000
NVO,NVO (NVST),N/A,N/A,30000000
FunFair,FunFair (FUN),N/A,N/A,17173696076
FunCoin,FunCoin (FUNC),N/A,N/A,100000000
Giga Watt,Giga Watt (WTT),N/A,N/A,23200000
Metal,Metal (MTL),N/A,PoPP,66588888
Hiveterminal Token,Hiveterminal Token (HVN),N/A,N/A,500000000
MyBit,MyBit (MYB),N/A,N/A,180000000 
Populous,Populous (PPT),N/A,N/A,53252246
SunContract,SunContract (SNC),N/A,N/A,7994751.31
Starbase,Starbase (STAR),N/A,N/A,1000000000
Corion,Corion (COR),N/A,N/A,N/A
Rialto.AI,Rialto.AI (XRL),N/A,N/A,100000000
Orocrypt,Orocrypt (OROC),N/A,N/A,​1112000
Monster Byte Inc,Monster Byte Inc (MBI),N/A,N/A,40000000
Digital Developers Fund,Digital Developers Fund (DDF),N/A,N/A,250000000
DIMCOIN,DIMCOIN (DIM),N/A,N/A,9000000000
Gilgam,Gilgam (GGS),N/A,N/A,30769113
EncrypGen,EncrypGen (DNA),N/A,N/A,75000000
FundYourselfNow,FundYourselfNow (FYN),N/A,N/A,12500000
FundRequest,FundRequest (FND),N/A,N/A,98611463.810279186741859
Dinastycoin,Dinastycoin (DCY),CryptoNight,PoW,2000000000
CryptoForecast,CryptoForecast (CFT),N/A,N/A,50000000
DigitalPrice,DigitalPrice (DP),X11,PoW,100000000
Virta Unique Coin,Virta Unique Coin (VUC),NIST5,PoW/PoS,120000000
Bitcoin Planet,Bitcoin Planet (BTPL),Skein,PoW/PoS,100000000
Unify,Unify (UNIFY),Scrypt,PoW,19276800
BritCoin,BritCoin (BRIT),X13,PoW/PoS,30000000
Ammo Rewards,Ammo Rewards (AMMO),N/A,PoS,77777777
SocialCoin,SocialCoin (SOCC),Scrypt,PoW, 75000000
Mass.Cloud,Mass.Cloud (MASS),N/A,N/A,N/A
LATOKEN,LATOKEN (LA),N/A,N/A,1000000000
IMMLA,IMMLA (IML),N/A,N/A,226736000
Exchange Union,Exchange Union (XUC),N/A,N/A,3000000000
BitJob,BitJob (STU),N/A,N/A,200000000
Pillar,Pillar (PLR),N/A,N/A,800000000
GeoFunders,GeoFunders (GUNS),N/A,N/A,100000000
InvestFeed,InvestFeed (IFT),N/A,N/A,191381258
BitClave,BitClave (BCAT),N/A,N/A,2000000000
Propy,Propy (PRO),N/A,N/A,100000000
SynchroCoin,SynchroCoin (SYC),N/A,N/A,100000000
Indorse,Indorse (IND),N/A,N/A,170622047
TribeToken,TribeToken (TRIBE),N/A,N/A,N/A
Tierion,Tierion (TNT),N/A,N/A,1000000000
COS,COS (COS),N/A,N/A,200000000
Storm,Storm (STORM),N/A,N/A,10000000000 
Storj,Storj (STORJ),N/A,N/A,424999998
Scorecoin,Scorecoin (SCORE),Scrypt,PoW,N/A
Octanox,Octanox (OTX),X11,PoW/PoS,7905634
Voise,Voise (VOISE),N/A,N/A,825578000
EthBits,EthBits (ETBS),N/A,N/A,1634690.762741201212
Crypviser,Crypviser (CVCOIN),N/A,N/A,15000000
DCORP,DCORP (DRP),N/A,N/A,8911496.7
ArcticCoin,ArcticCoin (ARC),X11,PoW,60000000
Bogcoin,Bogcoin (BOG),SHA-256,PoW,21212121
NeverDie,NeverDie (NDC),N/A,N/A,400000000
Po.et,Po.et (POE),N/A,N/A,3141592653
AdToken,AdToken (ADT),N/A,N/A,1000000000
Useless Ethereum Token,Useless Ethereum Token (UET),N/A,N/A,3965716.0979
Agoras Token,Agoras Token (AGRS),N/A,N/A,42000000
DMarket,DMarket (DMT),N/A,N/A,56921773.1719715
DAS,DAS (DAS),X11,PoW,18900000
CoinJob,CoinJob (XCJ),N/A,N/A,200000000
Royal Kingdom Coin,Royal Kingdom Coin (RKC),N/A,N/A,15000000
NoLimitCoin,NoLimitCoin (NLC2),PoS,PoS,N/A
Metrix,Metrix (LINDA),Scrypt,PoS,50000000000
King93,King93 (KING),N/A,N/A,50000000
Anacrypt,Anacrypt (ANCP),N/A,N/A,10000
Reality Clash,Reality Clash (RCC),Ethash,PoW,24487944
RootProject,RootProject (ROOTS),N/A,N/A,293367008.038815
Sosnovkino,Sosnovkino (SNK),N/A,N/A,390000
CryptoABS,CryptoABS (CABS),N/A,N/A,N/A
Opus,Opus (OPT),N/A,N/A,1600000000
OpenZen,OpenZen (ZNT),N/A,N/A,270000000
Bits Digit,Bits Digit (BITSD),N/A,N/A,N/A
LeviarCoin,LeviarCoin (XLC),CryptoNight,PoW,54000000
Skincoin,Skincoin (SKIN),N/A,N/A,488183483.290948
Mothership,Mothership (MSP),N/A,N/A,200000000
HireMatch,HireMatch (HIRE),N/A,N/A,"100,000,000"
REAL,REAL (REAL),N/A,N/A,19717289.2292
DentalFix,DentalFix (DFBT),N/A,N/A,100000000
EQUI,EQUI (EQ),N/A,N/A,500000000
Wolk,Wolk (WLK),N/A,N/A,500000000
Viberate,Viberate (VIB),N/A,N/A,200000000
DeepOnion,DeepOnion (ONION),X13,PoW/PoS,18898187.6216583
Bitcore,Bitcore (BTX),Time Travel,PoW,21000000
iDice,iDice (ICE),N/A,N/A,2071013
Sphre AIR,Sphre AIR (XID),N/A,N/A,30820620.1838
gCn Coin,gCn Coin (GCN),Scrypt,PoW,200000000000
Decentraland,Decentraland (MANA),N/A,N/A,2805886393.1583
ICO OpenLedger,ICO OpenLedger (ICOO),N/A,N/A,20000000
Timereum,Timereum (TME),N/A,N/A,N/A
Signatum,Signatum (SIGT),SkunkHash v2 Raptor,PoS,137500000
Onix,Onix (ONX),X11,PoW,1100000000
CoEval,CoEval (COE),N/A,N/A,100000
Arena,Arena (ARENA),N/A,N/A,14000000
Wink,Wink (WINK),PoS,PoS,80000000
Cream,Cream (CRM),Skein,PoW/PoS,100000000
DigiPulse,DigiPulse (DGPT),N/A,N/A,20483871
Mobius,Mobius (MOBI),N/A,N/A,888000000
BitDice,BitDice (CSNO),N/A,N/A,100000000
Solar DAO,Solar DAO (SDAO),N/A,N/A,80000000
Stox,Stox (STX),N/A,N/A,58850550.4633
Core Group Asset,Core Group Asset (CORE),N/A,N/A,1000000
Kencoin,Kencoin (KEN),N/A,N/A,1000000000
Qvolta,Qvolta (QVT),N/A,N/A,21600000 
Ties Network,Ties Network (TIE),N/A,N/A,200000000
Autoria,Autoria (AUT),N/A,N/A,N/A
Growers International,Growers International (GRWI),DPoS,N/A,1000420
Monkey,Monkey (MNY),N/A,N/A,1000000000
Monetha,Monetha (MTH),N/A,N/A,402400000
CCCoin,CCCoin (CCC),N/A,N/A,2500000
Umbrella Coin,Umbrella Coin (UMC),N/A,N/A,100000000
Bitmxittz,Bitmxittz (BMXT),Scrypt,PoW/PoS,10000
Gas,Gas (GAS),N/A,N/A,100000000
Oceanlab,Oceanlab (OCL),N/A,DPoS/LPoS,50000000
Benjacoin,Benjacoin (BNC),N/A,N/A,1000000000
Tomahawkcoin,Tomahawkcoin (TOM),N/A,N/A,200000000
SMNX,SMNX (SMNX),N/A,N/A,15000000
Dentacoin,Dentacoin (DCN),N/A,N/A,8000000000000
Agrello Delta,Agrello Delta (DLT),N/A,N/A,130271020
Macroverse,Macroverse (MRV),N/A,N/A,668908
Embers,Embers (MBRS),N/A,N/A,50000000
Substratum Network,Substratum Network (SUB),N/A,N/A,600000000
Prospectors,Prospectors (PGL),N/A,N/A,220000000
Monoeci,Monoeci (XMCC),X11,PoW/PoS,9507271
Authoreon,Authoreon (AUN),N/A,N/A,90000000
CampusCoin,CampusCoin (CMPCO),Scrypt,PoW,1010000000
DetectorToken,DetectorToken (DTCT),N/A,N/A,N/A
Centra,Centra (CTR),N/A,N/A,100000000
Wavesnode.net,Wavesnode.net (WNET),N/A,N/A,10000000
Paragon,Paragon (PRG),N/A,N/A,200000000
ThankYou,ThankYou (THNX),N/A,N/A,70000000
HealthyWorm,HealthyWorm (WORM),PoS,PoS,N/A
Fuck Token,Fuck Token (FUCK),N/A,N/A,70856775
Veredictum,Veredictum (VRD),N/A,N/A,N/A
Smart Investment Fund Token,Smart Investment Fund Token (SIFT),N/A,N/A,722935
IwToken,IwToken (IWT),N/A,N/A,N/A
JustDatingSite,JustDatingSite (JDC),N/A,N/A,N/A
Intelligent Trading,Intelligent Trading (ITF),N/A,N/A,11500000
Aigang,Aigang (AIX),N/A,N/A,29274566.724462560143156861
Everex,Everex (EVX),N/A,N/A,25000000
Eternal Coin,Eternal Coin (XEC),N/A,N/A,200000000
Entropy Token,Entropy Token (ENTRP),N/A,N/A,100000000
ICOBox,ICOBox (ICOS),N/A,N/A,591617
Lampix,Lampix (PIX),N/A,N/A,327154880
MediBond,MediBond (MEDI),N/A,N/A,250000000
Hello Gold,Hello Gold (HGT),N/A,N/A,1000000000
Litra,Litra (LTA),N/A,N/A,99999999
Nimfamoney,Nimfamoney (NIMFA),N/A,N/A,100000000
Scorista,Scorista (SCOR),N/A,N/A,N/A
CPROP,CPROP (MLS),N/A,N/A,100000000
KexCoin,KexCoin (KEX),N/A,N/A,10000000
Cobinhood,Cobinhood (COB),N/A,N/A,1000000000
Bitradio,Bitradio (BRO),PoS,PoS,N/A
Minex,Minex (MINEX),N/A,N/A,30000000
ATLANT,ATLANT (ATL),N/A,N/A,54175041
Draftcoin,Draftcoin (DFT),Scrypt,PoS,17405891.19707116
Utrust,Utrust (UTK),N/A,N/A,500000000
Latium,Latium (LAT),N/A,N/A,30000000
Sojourn Coin,Sojourn Coin (SOJ),Scrypt,PoW,10500000000
Hedge Token,Hedge Token (HDG),N/A,N/A,5774676.11
SqPay,SqPay (SQP),N/A,N/A,1000000
Etheriya,Etheriya (RIYA),N/A,N/A,1861532
Ethereum.Link,Ethereum.Link (LNK),N/A,N/A,47503.2535
AltoCar,AltoCar (ALTOCAR),N/A,N/A,N/A
BANKEX,BANKEX (BKX),N/A,N/A,400000000
Boulle,Boulle (BOU),N/A,N/A,N/A
Oxycoin,Oxycoin (OXY),DPoS,DPoS,0
Tap Project,Tap Project (TTT),N/A,N/A,1500000000
Acumen,Acumen (AMT),N/A,N/A,N/A
Gimli,Gimli (GIM),N/A,N/A,150000000
LiteBitcoin,LiteBitcoin (LBTC),Scrypt,PoW,1000000000
EasyMine,EasyMine (EMT),N/A,N/A,33000000
Gx Coin,Gx Coin (GXC),N/A,N/A,10000000
Hubii Network,Hubii Network (HBT),N/A,N/A,31801783.6598
Kronecoin,Kronecoin (KRONE),Scrypt,PoW,84000000
Scrypto,Scrypto (SRT),N/A,N/A,9123000
Avalon,Avalon (AVA),N/A,N/A,10000000
BuildTeam,BuildTeam (BT),N/A,N/A,1000000
AdCoin,AdCoin (ACC),Scrypt,PoW,100000000
Z2 Coin,Z2 Coin (Z2),SHA-256,PoW,11000000
BlakeStar,BlakeStar (BLAS),Blake2S,PoW/PoS,2400000000
Sociall,Sociall (SCL),N/A,N/A,16714019.6643
Travel Coin,Travel Coin (TRVL),N/A,N/A,200000
Cryptum,Cryptum (CRTM),N/A,Proof of Ownership,1100000
Exscudo,Exscudo (EON),N/A,DPoS,N/A
Primas,Primas (PST),Scrypt,PoW,N/A
Matryx,Matryx (MTX),N/A,N/A,314159265
Privatix,Privatix (PRIX),N/A,N/A,1275455.31177803
CarTaxi,CarTaxi (CTX),N/A,N/A,487500000
Enjin Coin,Enjin Coin (ENJ),N/A,N/A,1000000000
Cryptonex,Cryptonex (CNX),N/A,N/A,210000000
Dropcoin,Dropcoin (DRC),N/A,PoS,500000000
Etherparty,Etherparty (FUEL),N/A,N/A,1000000000
TokenStars,TokenStars (ACE),N/A,N/A,N/A
Worldcore,Worldcore (WRC),N/A,N/A,245209299
Breakout Stake,Breakout Stake (BRX),N/A,PoW/PoS,N/A
U.CASH,U.CASH (UCASH),N/A,N/A,21000000000
WRTcoin,WRTcoin (WRT),X11,PoW,25000000000
Ormeus Coin,Ormeus Coin (ORME),N/A,N/A,200000000
Deep Gold,Deep Gold (DEEPG),N/A,N/A,100000000
Crystal Clear Token ,Crystal Clear Token  (CCT),N/A,N/A,6924060
Wish Finance,Wish Finance (WSH),N/A,N/A,10000000
ARNA Panacea,ARNA Panacea (ARNA),N/A,N/A,1000000000
AB-Chain,AB-Chain (ABC),N/A,N/A,210000000
Papyrus,Papyrus (PRP),N/A,N/A,N/A
Blackmoon Crypto,Blackmoon Crypto (BMC),N/A,N/A,60000000
Skrilla Token,Skrilla Token (SKRT),N/A,N/A,405545345
3DES,3DES (3DES),N/A,N/A,35000000
Kapu,Kapu (KAPU),DPoS,DPoS,115000000
Sense Token,Sense Token (SENSE),N/A,N/A,1000000000
Cappasity,Cappasity (CAPP),N/A,N/A,663271025
BLOCKv,BLOCKv (VEE),N/A,N/A,3646271241
Facecoin,Facecoin (FC),N/A,N/A,20000000
Ripio,Ripio (RCN),N/A,PoW,1000000000
Doc.ai Neuron,Doc.ai Neuron (NRN),N/A,N/A,860000000
Chainlink,Chainlink (LINK),N/A,N/A,1000000000 
Crowdwiz,Crowdwiz (WIZ),N/A,PoS,40000000
A-Token,A-Token (ATKN),N/A,N/A,30000000
Kyber Network,Kyber Network (KNC),N/A,N/A,226000000
Imbrex,Imbrex (REX),N/A,N/A,24041497.2407
Ethereum Dark,Ethereum Dark (ETHD),Scrypt,PoW/PoS,4200000
Hydrominer,Hydrominer (H2O),N/A,N/A,100000000
Crypto Tickets,Crypto Tickets (TKT),N/A,N/A,52006540
Rhea,Rhea (RHEA),N/A,N/A,50000000
Maecenas,Maecenas (ART),N/A,N/A,100000000
DomRaider,DomRaider (DRT),N/A,N/A,1300000000
Snovio,Snovio (SNOV),N/A,N/A,651129644 
TrackNetToken,TrackNetToken (MTN),N/A,N/A,100000000
StockBet,StockBet (STOCKBET),N/A,N/A,N/A
Algo.Land,Algo.Land (PLM),N/A,PoS,N/A
Salt Lending,Salt Lending (SALT),N/A,N/A,120000000
Sandcoin,Sandcoin (SND),N/A,N/A,2684319 
Experience Points,Experience Points (XP),SHA-256,PoW/PoS,N/A
Gladius,Gladius (GLA),N/A,N/A,96300000
Zenome,Zenome (ZNA),N/A,N/A,36000000
EZMarket,EZMarket (EZM),N/A,N/A,150000000
ClearPoll,ClearPoll (POLL),N/A,N/A,9999991
Moya Token,Moya Token (MTK),N/A,N/A,125000000
Cashaa,Cashaa (CAS),N/A,N/A,1000000000
MiniApps,MiniApps (MAT),N/A,PoW,10624482.461137533912144041
Global Jobcoin,Global Jobcoin (GJC),N/A,N/A,100000000
Wi Coin,Wi Coin (WIC),N/A,N/A,100000000
Webcoin,Webcoin (WEB),N/A,N/A,70000000
WandX,WandX (WAND),N/A,N/A,72000000
Elixir,Elixir (ELIX),N/A,N/A,24147007.0087
eBitcoin,eBitcoin (EBTC),N/A,N/A,21000000
Hackspace Capital,Hackspace Capital (HAC),N/A,N/A,1000000000
Yoyow,Yoyow (YOYOW),N/A,N/A,300000000
Regalcoin,Regalcoin (REC),X11,PoW/PoS,27000000
Bismuth,Bismuth (BIS),N/A,PoW,109999978
Opporty,Opporty (OPP),N/A,N/A,1000000000
Ice Rock Mining,Ice Rock Mining (ROCK2),N/A,N/A,16500000
Earth Token,Earth Token (EARTH),N/A,N/A,1000000000
Vsync,Vsync (VSX),X13,PoW/PoS,N/A
FLASH coin,FLASH coin (FLASH),N/A,N/A,900000000
Graft Blockchain,Graft Blockchain (GRFT),CryptoNight,PoW/PoS,1844674400
BitcoinZ,BitcoinZ (BTCZ),Equihash,PoW,21000000000
Crazy Coin,Crazy Coin (CZC),N/A,N/A,85000000
PayPie,PayPie (PPP),N/A,N/A,165000000
Peerguess,Peerguess (GUESS),N/A,N/A,200000000
CanYaCoin,CanYaCoin (CAN),N/A,N/A,100000000
Cryptonetix,Cryptonetix (CIX),N/A,N/A,100000000
Esports.com,Esports.com (ERT),N/A,N/A,60000000
FLiK,FLiK (FLIK),N/A,N/A,600000000
Trippki,Trippki (TRIP),N/A,N/A,200000000
Multibot,Multibot (MBT),N/A,N/A,25000000
Javvy,Javvy (JVY),N/A,N/A,333333333
ALISmedia,ALISmedia (ALIS),N/A,N/A,287604611.0864
Leverj,Leverj (LEV),N/A,N/A,1000000000
Arbi,Arbi (ARBI),Ethash,N/A,50000
Request Network,Request Network (REQ),N/A,N/A,1000000000
Aeron,Aeron (ARN),N/A,N/A,100000000
Datum,Datum (DAT),N/A,N/A,2653841597.973271663912484125
VIBEHub,VIBEHub (VIBE),N/A,N/A,267000000
Rockchain,Rockchain (ROK),N/A,N/A,100000000
X Real Estate Development,X Real Estate Development (XRED),N/A,N/A,65000000
Chronologic,Chronologic (DAY),N/A,N/A,806812
AirSwap,AirSwap (AST),N/A,N/A,500000000
Gameflip,Gameflip (FLP),N/A,N/A,100000000
Cindicator,Cindicator (CND),N/A,N/A,2000000005
Prosense.tv,Prosense.tv (VRP),N/A,N/A,720000000
TrezarCoin,TrezarCoin (TZC),NeoScrypt,PoW/PoS,400000000
Musiconomi,Musiconomi (MCI),N/A,N/A,100000000
Covesting,Covesting (COV),N/A,N/A,20000000
AirToken,AirToken (AIR),N/A,N/A,1491492558
Fujinto,Fujinto (FUJIN),N/A,N/A,400000000
Kolion,Kolion (KOLION),N/A,N/A,1000000
Wild Crypto,Wild Crypto (WILD),N/A,N/A,100000000
eLTC,eLTC (ELTC2),N/A,N/A,84000000
ILCoin Token,ILCoin Token (ILCT),SHA-256,PoW,N/A
Power Ledger,Power Ledger (POWR),N/A,N/A,1000000000
Crypto20,Crypto20 (C20),N/A,N/A,40656081.980167189594966596
Anryze,Anryze (RYZ),N/A,N/A,321000000
Elements,Elements (ELM),X11,PoW,1800000000
TerraNovaCoin,TerraNovaCoin (TER),Scrypt,PoW/PoS,15733333
Bitqy,Bitqy (BQ),N/A,N/A,10000000000
Clout,Clout (CLOUT),N/A,N/A,100000000
Everus,Everus (EVR),N/A,N/A,1000000000
TOA Coin,TOA Coin (TOA),Scrypt,PoW/PoS,N/A
Monaize,Monaize (MNZ),Equihash,PoW/DPoW,257142857
VIVO Coin,VIVO Coin (VIVO),NeoScrypt,PoW,27000000
Moeda,Moeda (MDA),N/A,N/A,19628888
Zeusshield,Zeusshield (ZSC),N/A,N/A,5642500000
Aureus,Aureus (AURS),Scrypt,N/A,21000000
Change,Change (CAG),N/A,N/A,79184116
Playkey,Playkey (PKT),N/A,N/A,100000000
e-Chat,e-Chat (ECHT),N/A,N/A,300000000
Internxt,Internxt (INXT),N/A,N/A,1119295
Authorship,Authorship (ATS),N/A,N/A,100000000
RG Coin,RG Coin (RGC),NIST5,PoW/PoS,300000000
EthBet,EthBet (EBET),N/A,N/A,10000000
Modum,Modum (MOD),N/A,N/A,18266200
Bitcomo,Bitcomo (BITCM),N/A,N/A,170000000
CryptoPay,CryptoPay (CPAY),N/A,N/A,320000000
Rupee,Rupee (RUP),Lyra2REv2,PoS,24000000
Bonpay,Bonpay (BON),N/A,N/A,21745688.353416168378405037
AppCoins,AppCoins (APPC),N/A,N/A,246203093
WhaleCoin,WhaleCoin (WHL),Ethash,PoW,N/A
UpToken,UpToken (UP),N/A,N/A,10000000000
Ethereum Gold,Ethereum Gold (ETG),N/A,N/A,24000000
Render Token,Render Token (RNDR),N/A,N/A,N/A
Eddie coin,Eddie coin (EDDIE),Scrypt,PoW/PoS,1000000000
Soma,Soma (SOMA),N/A,N/A,60000000
NamoCoin,NamoCoin (NAMO),NIST5,PoW/PoS,1200000000
GATCOIN,GATCOIN (GAT),N/A,N/A,1000000000
Ethereum Blue,Ethereum Blue (BLUE),N/A,N/A,42000000
Follow Coin,Follow Coin (FLLW),N/A,N/A,1000000000
Wyrify,Wyrify (WYR),N/A,N/A,200000000
Vezt,Vezt (VZT),N/A,PoW,125000000
IndiCoin,IndiCoin (INDI),N/A,PoW,550000000
LUXCoin,LUXCoin (LUX),PHI1612,PoW/PoS,60000000
TBIS token,TBIS token (BAR),N/A,N/A,100000000
Ethereum Cash,Ethereum Cash (ECASH),N/A,N/A,15000000
WePower,WePower (WPR),N/A,N/A,746403007.29
Dragonchain,Dragonchain (DRGN),N/A,N/A,433494437
ODMCoin,ODMCoin (ODMC),N/A,N/A,25000
BROTHER,BROTHER (BRAT),N/A,N/A,1000000000
Dynamic Trading Rights,Dynamic Trading Rights (DTR),N/A,N/A,3750000
CryptoInsight,CryptoInsight (TKR),N/A,N/A,12529747
SelfKey,SelfKey (KEY),N/A,N/A,6000000000
EthereumLite,EthereumLite (ELITE),N/A,N/A,1000000
DOVU,DOVU (DOV),N/A,N/A,1200000000
Realisto,Realisto (REA),N/A,N/A,3629668
Avesta,Avesta (AVE),Avesta hash,PoW,200000000
Xenon,Xenon (XNN),N/A,N/A,1000000000
Bitcloud 2.0,Bitcloud 2.0 (BTDX),Quark,PoW/PoS,200000000
Lendoit,Lendoit (LOAN),N/A,N/A,N/A
ZABERcoin,ZABERcoin (ZAB),N/A,N/A,10000000
Bitfinex Bitcoin Future,Bitfinex Bitcoin Future (BT1),N/A,N/A,N/A
Bitcoin SegWit2X,Bitcoin SegWit2X (BT2),N/A,N/A,N/A
Jincor,Jincor (JCR),N/A,N/A,35000000
Extreme Sportsbook,Extreme Sportsbook (XSB),X11,PoS,3000000
eBoost,eBoost (EBST),Scrypt,PoW,100000000
AidCoin,AidCoin (AID),N/A,N/A,100000000
BlackholeCoin,BlackholeCoin (BLHC),Scrypt,PoW/PoS,14788275.991
Simple Token,Simple Token (OST),N/A,N/A,800000000
ugChain,ugChain (UGC),N/A,N/A,100000000
HEROcoin,HEROcoin (PLAY),N/A,N/A,252165029
Pure,Pure (PURE),X11,PoW/PoS,3686860
Cloud,Cloud (CLD),N/A,N/A,60000000
Open Trading Network,Open Trading Network (OTN),N/A,N/A,100000000
PoSToken,PoSToken (POS),N/A,PoS,10000000
REBL,REBL (REBL),N/A,N/A,326480305
NEO Gold,NEO Gold (NEOG),N/A,N/A,100000000 
ExchangeN,ExchangeN (EXN),N/A,N/A,10000000
Tracto,Tracto (TRCT),N/A,N/A,70000000
UnikoinGold,UnikoinGold (UKG),N/A,N/A,1000000000
Bitcoin Red,Bitcoin Red (BTCRED),N/A,N/A,21000000
CoinPulseToken,CoinPulseToken (CPEX),N/A,N/A,100000000
Project J,Project J (JTX),N/A,N/A,1000000000
AIX,AIX (AXT),N/A,N/A,20000000
Raiden Network,Raiden Network (RDNN),N/A,N/A,100000000
Neumark,Neumark (NEU),N/A,N/A,1500000000
Rupaya,Rupaya (RUPX),Quark,PoS,75000000
BlueDragon,BlueDragon (BDR),N/A,N/A,728121985
TIOx,TIOx (TIOX),N/A,N/A,223534823
Huncoin,Huncoin (HNCN),X13,PoW,86400000
MadCoin,MadCoin (MADC),Scrypt,PoW,10000000
Innova,Innova (INN),NeoScrypt,PoW,45000000
Decision Token,Decision Token (HST),N/A,N/A,48240069.5496
BlockMason Credit Protocol,BlockMason Credit Protocol (BCPT),N/A,N/A,116158667
Bitdeal,Bitdeal (BDL),Scrypt,PoW,300000000
COMSA,COMSA (CMS),N/A,N/A,219042298
Billionaire Token,Billionaire Token (XBL),N/A,N/A,3315372
Zeph,Zeph (ZEPH),SHA-256,DPoS,2000000000
ATFS Project,ATFS Project (ATFS),N/A,N/A,380000000
Galaxy eSolutions,Galaxy eSolutions (GES),N/A,N/A,300000000
Phore,Phore (PHORE),POS 3.0,N/A,18773269
LitecoinCash,LitecoinCash (LCASH),N/A,N/A,12000000
Confido,Confido (CFD),N/A,N/A,15000000
SophiaTX,SophiaTX (SPHTX),N/A,N/A,350000000
PlusCoin,PlusCoin (PLC),N/A,N/A,82500000000
SirinLabs,SirinLabs (SRN),N/A,N/A,572916627.078562646983596714
WiserCoin,WiserCoin (WSC),Scrypt,PoW,22105263
Decent.bet,Decent.bet (DBET),N/A,N/A,133039762.4203
Go!,Go! (xGOx),Scrypt,PoW/PoS,N/A
Newbium,Newbium (NEWB),N/A,N/A,49000000
LIFE,LIFE (LIFE),N/A,N/A,100000000000
Russian Mining Coin,Russian Mining Coin (RMC),N/A,N/A,10756.8259
Credo,Credo (CREDO),N/A,N/A,1374729257.2286
Masari,Masari (MSR),CryptoNight,PoW,18500000
ConnectJob Token,ConnectJob Token (CJT),N/A,PoS,300000000
Envion,Envion (EVN),N/A,N/A,150000000
Bankera,Bankera (BNK),N/A,N/A,25000000000
BlockPool,BlockPool (BPL),DPoS,N/A,N/A
Coin,Coin (COIN),N/A,N/A,107142857
RocketCoin,RocketCoin (ROCK),N/A,N/A,25000000
Droxne,Droxne (DRXNE),PoS,PoS,N/A
Sakuracoin,Sakuracoin (SKR),Scrypt,PoW,105100000
Grid+,Grid+ (GRID),N/A,N/A,300000000
PlatinumBAR,PlatinumBAR (XPTX),Quark,PoW/PoS,N/A
Genesis Vision,Genesis Vision (GVT),N/A,N/A,4436644
Energi Token,Energi Token (ETK),N/A,N/A,2307692310
Astronaut,Astronaut (ASTRO),N/A,N/A,6999999
Mercury Protocol,Mercury Protocol (GMT),N/A,N/A,1000000000
Emphy,Emphy (EMPH),N/A,N/A,15375000
Soarcoin,Soarcoin (SOAR),N/A,N/A,5000000000
Experty,Experty (EXY),N/A,N/A,79404563.976510606
Interstellar Holdings,Interstellar Holdings (ISH),Scrypt,PoS,1970000000
Credits,Credits (CRDS),Argon2,N/A,95000000
Viuly,Viuly (VIU),N/A,N/A,1000000000
Scorum,Scorum (SCRM),DPoS,DPoS,20000000
Düber,Düber (DBR),N/A,N/A,2226000000
Giftcoin,Giftcoin (GFT),N/A,N/A,N/A
STAC,STAC (STAC),N/A,N/A,301128956
Quantstamp,Quantstamp (QSP),N/A,N/A,976442388.3211
RiptideCoin,RiptideCoin (RIPT),N/A,N/A,17999429.802
BitBoost,BitBoost (BBT),N/A,N/A,100000000
GoByte,GoByte (GBX),NeoScrypt,PoW,31800000
Castle,Castle (CSTL),Quark,DPoS,50000000 
Insta Cash Coin,Insta Cash Coin (ICC),SHA-256,PoW,300000000
Jibrel Network Token,Jibrel Network Token (JNT),N/A,N/A,N/A
Quoine Liquid,Quoine Liquid (QASH),N/A,N/A,1000000000
KingN Coin,KingN Coin (KNGN),Scrypt,PoW/PoS,420000
Triaconta,Triaconta (TRIA),N/A,N/A,N/A
Pebbles,Pebbles (PBL),N/A,N/A,33787150
Magnet,Magnet (MAG),X11,PoW/PoS,144000000
STEX,STEX (STEX),N/A,N/A,100000000
Upfiring,Upfiring (UFR),N/A,N/A,815000000.138288041404396357
LociCoin,LociCoin (LOCI),N/A,N/A,100000000
Lamden Tau,Lamden Tau (TAU),DPoS,DPoS,500000000
Labrys,Labrys (LAB),N/A,N/A,430000000
Debitum Token,Debitum Token (DEB),N/A,N/A,400000000
Flixxo,Flixxo (FLIXX),N/A,N/A,189151328.5746
Farad,Farad (FRD),N/A,N/A,1600000000
PayFair,PayFair (PFR),N/A,N/A,88999687.03849664
Ludum token,Ludum token (LDM),N/A,N/A,404926.7576
LiteCoin Gold,LiteCoin Gold (LTG),N/A,N/A,84000000
StashPay,StashPay (STP),N/A,N/A,500000000
SpankChain,SpankChain (SPANK),N/A,N/A,1000000000
MyWish,MyWish (WISH),N/A,N/A,19803895.1235
Aerium,Aerium (AERM),N/A,PoW/PoS,500000000
PlexCoin,PlexCoin (PLX),N/A,N/A,1000000000
EtherBTC,EtherBTC (ETHB),N/A,N/A,21000000
FoodCoin,FoodCoin (FOOD),N/A,N/A,359312486.42417746 
Darico,Darico (DEC),N/A,240000000,99006341.50190786084
Votecoin,Votecoin (VOT),Equihash,PoW,220000000
Uquid Coin,Uquid Coin (UQC),N/A,N/A,40000000
Sether,Sether (SETH),N/A,N/A,100000000
The Abyss,The Abyss (ABYSS),N/A,N/A,508628132.041069469203893949
SHIELD,SHIELD (XSH),Multiple,PoW,660000000
