Coin Name,Complete Name,Algorithm,Proof Type,Total Coin Supply
GlyphCoin,GlyphCoin (GLYPH),X11,PoW/PoS,7000000
GameLeagueCoin,GameLeagueCoin (GML),Scrypt,PoW/PoS,500000000
GuerillaCoin,GuerillaCoin (GUE),X11,PoW/PoS,19500000
Halcyon,Halcyon (HAL),X15,PoW/PoS,0
HoboNickels,HoboNickels (HBN),Scrypt,PoW/PoS,120000000
HunterCoin,HunterCoin (HUC),Multiple,PoW,42000000
HeavyCoin,HeavyCoin (HVC),Multiple,PoW,128000000
HyperStake,HyperStake (HYP),X11,PoS,0
IceBergCoin,IceBergCoin (ICB),NIST5,PoW/PoS,8750000
Infinite Coin,Infinite Coin (IFC),Scrypt,PoW,90600000000
IXcoin,IXcoin (IXC),SHA-256,PoW,21000000
JumBucks Coin,JumBucks Coin (JBS),X11,PoW/PoS,3293010
JunkCoin,JunkCoin (JKC),Scrypt,PoW,107000000
JudgeCoin,JudgeCoin (JUDGE),X13,PoW/PoS,21600000
Klondike Coin,Klondike Coin (KDC),Scrypt,PoW,20000000
KeyCoin,KeyCoin (KEYC),X13,PoW/PoS,1000000
KrugerCoin,KrugerCoin (KGC),Scrypt,PoW,265420800
Lucky7Coin,Lucky7Coin (LK7),Scrypt,PoW/PoS,99792000
LuckyCoin,LuckyCoin (LKY),Scrypt,PoW,20000000
LightSpeedCoin,LightSpeedCoin (LSD),NIST5,PoW/PoS,900000
Litebar ,Litebar  (LTB),Scrypt,PoW,1350000
LitecoinDark,LitecoinDark (LTCD),Scrypt,PoW,82003200
LitecoinX,LitecoinX (LTCX),X11,PoW,84000000
LibrexCoin,LibrexCoin (LXC),X11,PoW/PoS,1000000
LycanCoin,LycanCoin (LYC),Scrypt,PoW,4950000000
MaxCoin,MaxCoin (MAX),SHA3,PoW/PoS,100000000
MediterraneanCoin,MediterraneanCoin (MED),HybridScryptHash256,PoW,200000000
Minerals Coin,Minerals Coin (MINRL),X11,PoW/PoS,1000000
MintCoin,MintCoin (MINT),Scrypt,PoS,0
Cryptsy Mining Contract,Cryptsy Mining Contract (MN),SHA-256,PoW,0
MinCoin,MinCoin (MINC),Scrypt,PoW,10000000
MurrayCoin,MurrayCoin (MRY),Scrypt,PoW,58000000
MazaCoin,MazaCoin (MZC),SHA-256,PoW/PoS,2419200000
NanoToken,NanoToken (NAN),Scrypt,PoW,80000000
Nautilus Coin,Nautilus Coin (NAUT),Scrypt,PoS,16180000
Nybble,Nybble (NBL),Scrypt,PoW,210000000
NetCoin,NetCoin (NET),Scrypt,PoW,N/A
Nimbus Coin,Nimbus Coin (NMB),X15,PoW/PoS,25000000
NoirBits,NoirBits (NRB),SHA-256,PoW,50000000
NobleCoin,NobleCoin (NOBL),Scrypt,PoW,15000000000
NoirShares,NoirShares (NRS),Scrypt,PoW/PoS,5000000
NyanCoin,NyanCoin (NYAN),Scrypt,PoW,337000000
Orbitcoin,Orbitcoin (ORB),NeoScrypt,PoW/PoS,3770000
OpenSourceCoin,OpenSourceCoin (OPSC),SHA-256,PoW/PoS,21000000
PhilosophersStone,PhilosophersStone (PHS),Scrypt,PoW,8891840
Cryptsy Points,Cryptsy Points (POINTS),N/A,N/A,0
PseudoCash,PseudoCash (PSEUD),X13,PoW/PoS,2200000
PhoenixCoin,PhoenixCoin (PXC),Scrypt,PoW/PoS,98000000
